PC1,PC2,Cluster
3.278293981951164,0.1086148417522198,2
-2.549200804253485,0.0105072497586492,3
3.2713779079957312,-0.1722434664941398,2
-2.204675243383932,0.6219015589627589,3
3.1222169929463663,0.4810208307552908,2
-1.9904501085040736,0.3377163845113821,3
-0.4642127069879161,2.423750916540393,1
-0.066716558247938,-2.7027460048227394,0
-2.7491725155857214,0.0899278954597766,3
2.201979697525066,0.1790227311309608,2
3.874824971667804,0.0808585706900651,2
-1.5715204030579524,-2.291942850406459,0
-2.0514894976875997,-0.3435895654027404,3
-1.0994678987597508,-1.0036809749238154,0
-1.6179340946903225,1.2684239386145528,1
-1.596496657085788,1.9534362331653132,1
0.1107290458029877,2.131055822957292,1
-1.8394689693873607,1.7309135784438812,1
-1.7683145146136885,1.735215880956512,1
1.2984554407203244,-2.173011428813496,0
-0.6245870559807756,-3.190784526993026,0
1.195151231047885,-0.6974413450027189,2
-3.1800675577274533,-0.3176529550984492,3
0.7074691969922674,-0.9478855873471576,0
-2.1804145547750875,0.4284789765681437,3
-1.8954403330009824,1.573757454792615,1
-1.0062183130628624,-2.70022084331381,0
-1.4285919190630785,1.4273180328915402,1
-0.8389209099875412,-1.681344908927927,0
1.1904849090079992,-0.037228484414454,2
-0.1824036522921421,1.2674851882813687,1
1.5904674344013443,0.3738159880369086,2
3.423676312718541,-0.5886250818993842,2
-2.7330889496455586,0.1872991827094447,3
2.432996568158497,0.7535238763914924,2
-0.3669246263864236,1.976542917165394,1
0.3553745402951497,1.7962043269990795,1
-2.411322340682937,-1.0574765898776266,3
-2.518098227320695,0.7829396261977373,3
-0.8122433472134125,-0.7085129193960376,0
-1.5743413550473029,0.8901052713314445,3
1.930615412643498,1.3099377114747792,2
-2.18510501822726,-0.4950255528548234,3
1.827694623448083,0.0310373633041396,2
0.1865711425864222,2.217013073809948,1
-2.510180521257501,1.524239579763002,3
2.1973172057799344,0.7408345451547168,2
-2.277753739467815,0.3181575446552357,3
-2.7939767843838403,-0.4921944407615127,3
-3.6691428852644896,0.052278638629269,3
-2.424843574168944,-0.0663834882505386,3
-2.0634030057353643,1.683021069051648,1
-0.9388722360787854,2.2295573757409115,1
1.9225922649972609,0.2719768796097208,2
-2.1374808427113257,0.6211743237245752,3
0.414362029683303,0.04503400341461,2
1.321866924897094,0.4677659649700282,2
1.4757027581259483,-1.122741084388436,2
1.9615139264942187,0.0255926344368825,2
2.5691011219712845,0.8084931442473556,2
-1.826260612378272,1.6616203999905146,1
-0.8561124533170308,-2.190334983093916,0
-3.050490655931409,-0.5576402482411911,3
-0.9051877243428078,1.9497513742782449,1
-1.469824024166417,-1.3842796974235223,0
-0.9029168867696604,-2.539064023513094,0
-0.2100938909028503,-2.828175942103867,0
-1.3370377905997295,-3.000615236876728,0
1.4217188649446095,0.4936837888008004,2
1.236720188969608,0.5968520688681047,2
-1.090037871179375,2.9192609194762973,1
1.0057701220540511,0.359514829386064,2
2.508155259711303,0.8244332358446556,2
1.5185039149674804,0.100400090465123,2
-0.9650295956793776,-2.3185937539130346,0
0.9370894824464672,-0.0043485406552921,2
1.4274334720466109,-0.4782919082407385,2
-0.913379629613328,2.175866028677825,1
-0.870861888058542,-1.428374655137148,0
-1.9262139540926573,1.0226454561779987,3
